thread_id,customer_tweet_id,customer_text,uber_tweet_id,uber_reply,thread_length,tentative_intent,ground_truth_intent,ground_truth_escalate,escalation_reason,notes,gold_standard_reply
379532,379532,@user Unable to add promo code to my account. Please help.,379531,"@user Hello Harsh, here to help. Send us a note at https://t.co/O1dsjntprg so our team can connect.",2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,"Hi there! I’m sorry to hear you’re having trouble adding your promo code. Please DM me your registered phone number and email address, and I’ll get this sorted out for you as quickly as possible. Thank you for your patience!"
2920575,2920575,"Worst driver ever @user. He stopped to pee, swerved, is spitting mucus into a cup every 2 mins, reached for meds while driving, and can't read directions. Would have gotten out but tired from travels and tons of bags. He should be retired. Car is dirty too. #ubercomplaint #Uber",2920574,@user Hi there! Please reach out to https://t.co/zUe0dj6yoX and fill out the 4 boxes at the bottom so we can get in touch.,2,driver_service_conduct,driver_service_conduct,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about your experience. Your safety and comfort are our top priorities. Please DM us your phone number so our safety team can reach out and assist you further. Thank you for bringing this to our attention.
822247,822247,"If you’re a woman and value your safety, don’t use @user They won’t respond to your complaint even when you called 911 and had police come out. #thankyounypd @Uber_Support doesn’t care.",822245,@user Hey there! We've just followed up with you via DM.,3,safety_critical,safety_critical,True,P0 physical safety risk requires immediate human safety team triage,,I'm truly sorry to hear about your experience and understand how concerning this situation is. Your safety is our top priority. Please DM us your phone number so our safety team can reach out to you directly. We're here to help you through this.
1591559,1591559,My dad got a $40 clean up fee in an @user last night for something he didn’t do and they won’t reverse the charge. Ridiculous.,1591558,"@user Due to our privacy policy, we will have to speak directly to the account holder. Please DM us the email address associated with the account.",2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,I’m really sorry to hear about the unexpected clean-up fee your dad received. I understand how frustrating this can be. Please DM me with his account email and the trip details so I can help resolve this issue for you. Thank you for your patience!
602833,602833,@user trying to track down a lost item during my last ride and y’all have been 0 help. Thanks,602832,@user Here to help! Send us a note via https://t.co/oY5vj3NqP3 so we can assist.,2,lost_item,lost_item,False,Can be auto-handled with standard protocol / DM guidance,,"I’m really sorry to hear you’re having trouble with your lost item. Please check the app under Activity > Find lost item > Contact driver for assistance. If you need further help, feel free to DM me your email and trip details. We’re here to help!"
656438,656438,hey @user this sucks please let us add new payment methods via web bc many of us put cards in our password managers https://t.co/QfgymvZrX5,656437,@user We're so sorry for the trouble. Send us a note via https://t.co/OhfgxSAY58 so we can assist.,2,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,"I totally understand your frustration! Adding payment methods via the web would definitely make things easier for many of us. While I can't make changes myself, I appreciate your feedback. Please DM me your registered email and phone number so I can pass this along to the right team. Thank you!"
699911,699911,Wtf got a notification that my @user password was changed..,699909,@user Sorry to hear about that! Can you please contact us via https://t.co/kGIXas5Cxg so our team can connect?,3,app_account_access,app_account_access,False,Can be auto-handled with standard protocol / DM guidance,,I'm really sorry to hear about the password change notification. Your account security is our top priority. Please DM us your registered phone number and email so our tech team can assist you right away. We're here to help!
310013,310013,"@user hi,I've got charged for a trip where thedriver didn't come to the correct pickup location so I cancelled it.Can I get a proper refund?",310012,@user We're here to help! Please send us a note via https://t.co/h840Iouehc so our team can connect.,2,fare_billing_dispute,fare_billing_dispute,False,Can be auto-handled with standard protocol / DM guidance,,"I'm sorry to hear about the confusion with your pickup location. I understand how frustrating unexpected charges can be. Please DM me your account email and the trip details, and I'll help you get this sorted out. Thank you for your patience!"
1491930,1491930,"@Uber_Support when am i going to be an uber select driver, i have the car, the rides (50+) and 5 stars",1491929,@user Here to help. Send us a note at https://t.co/ZKt0NHVs3P so our team can connect.,2,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"Thanks for reaching out! It’s great to hear you have the qualifications for Uber Select. The approval process can vary, but I recommend checking your driver app for any updates or requirements. If you have more questions, feel free to DM us! We're here to help."
1843728,1843728,"@user you should have a feature where you can add credits to your Uber account, by winning stuff and drawing in giveaways u know.",1843726,@user We'll be happy to take a closer look. Send us a note via https://t.co/zUe0dj6yoX so our team can connect.,3,general_feedback_other,general_feedback_other,False,Can be auto-handled with standard protocol / DM guidance,,"Thanks for your suggestion! We love hearing creative ideas from our community, and adding a feature for credits through giveaways sounds interesting. We'll pass this along to our team for consideration. If you have more thoughts, feel free to DM us!"
